"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2020,2021,2022
"신·재생에너지 총보급용량(발전)①+②",소계,소계,소계,25974393,30211816,33760433.8190818
"신·재생에너지 총보급용량(발전)①+②",사업용,소계,소계,23333870,27079125,30274916.868211802
"신·재생에너지 총보급용량(발전)①+②",자가용,소계,소계,2640523,3132691,3485516.95087
"신·재생에너지 총보급용량(발전)①+②",① 재생에너지 합,소계,소계,25013032,29071778,32522243.819081802
"신·재생에너지 총보급용량(발전)①+②",① 재생에너지 합,사업용,소계,22382726,25950991,29050037.868211802
"신·재생에너지 총보급용량(발전)①+②",① 재생에너지 합,자가용,소계,2630306,3120787,3472205.95087
"신·재생에너지 총보급용량(발전)①+②",② 신에너지 합,소계,소계,961361,1140038,1238190
"신·재생에너지 총보급용량(발전)①+②",② 신에너지 합,사업용,소계,951144,1128134,1224879
"신·재생에너지 총보급용량(발전)①+②",② 신에너지 합,자가용,소계,10217,11904,13311
"① 재생에너지",태양광,소계,소계,17356934,21199351,24369532.33287
"① 재생에너지",태양광,사업용,소계,14910942,18338405,21051252.912
"① 재생에너지",태양광,자가용,소계,2445992,2860946,3318279.42087
"① 재생에너지",풍력,소계,소계,1645407,1709116,1945960.53
"① 재생에너지",풍력,사업용,소계,1632055,1695655,1932395
"① 재생에너지",풍력,자가용,소계,13352,13461,13565.53
"① 재생에너지",수력,소계,소계,1807291,1821374,1813392.4
"① 재생에너지",수력,사업용,소계,1805777,1819805,1811823.4
"① 재생에너지",수력,자가용,소계,1514,1569,1569
"① 재생에너지",해양,소계,소계,255500,255580,255580
"① 재생에너지",해양,사업용,소계,255500,255580,255580
"① 재생에너지",바이오,소계,소계,3525835,3578983,3664456.4
"① 재생에너지",바이오,사업용,소계,3440259,3508257,3591765.4
"① 재생에너지",바이오,자가용,소계,85576,70726,72691
"① 재생에너지",바이오,바이오가스,소계,61532,61590,65816
"① 재생에너지",바이오,바이오가스,사업용,52386,52194,54455
"① 재생에너지",바이오,바이오가스,자가용,9146,9396,11361
"① 재생에너지",바이오,매립지가스,소계,67427,66309,66309
"① 재생에너지",바이오,매립지가스,사업용,67427,66309,66309
"① 재생에너지",바이오,매립지가스,자가용,-,-,-
"① 재생에너지",바이오,우드칩,소계,83669,126879,77314.2990801476
"① 재생에너지",바이오,우드칩,사업용,43669,101979,77314.2990801476
"① 재생에너지",바이오,우드칩,자가용,40000,24900,-
"① 재생에너지",바이오,목재펠릿,소계,1512934,1643778,2075903.180919852
"① 재생에너지",바이오,목재펠릿,사업용,1512934,1643778,2075903.180919852
"① 재생에너지",바이오,목재펠릿,자가용,-,-,-
"① 재생에너지",바이오,폐목재,소계,-,-,-
"① 재생에너지",바이오,폐목재,사업용,-,-,-
"① 재생에너지",바이오,폐목재,자가용,-,-,-
"① 재생에너지",바이오,흑액,소계,36430,36430,36430
"① 재생에너지",바이오,흑액,자가용,36430,36430,36430
"① 재생에너지",바이오,하수슬러지고형연료,소계,249604,338996,52950
"① 재생에너지",바이오,하수슬러지고형연료,사업용,249604,338996,52950
"① 재생에너지",바이오,Bio-SRF,소계,563890,424651,369383.92
"① 재생에너지",바이오,Bio-SRF,사업용,563890,424651,344483.92
"① 재생에너지",바이오,Bio-SRF,자가용,-,-,24900
"① 재생에너지",바이오,바이오중유,소계,950350,880350,920350
"① 재생에너지",바이오,바이오중유,사업용,950350,880350,920350
"① 재생에너지",폐기물,소계,소계,422064,507374,473322.1562118049
"① 재생에너지",폐기물,사업용,소계,338193,333288,407221.1562118049
"① 재생에너지",폐기물,자가용,소계,83871,174086,66101
"① 재생에너지",폐기물,폐가스,소계,-,-,-
"① 재생에너지",폐기물,폐가스,사업용,-,-,-
"① 재생에너지",폐기물,폐가스,자가용,-,-,-
"① 재생에너지",폐기물,산업폐기물,소계,109608,199435,168041.9872408429
"① 재생에너지",폐기물,산업폐기물,사업용,105794,105701,152127.9872408429
"① 재생에너지",폐기물,산업폐기물,자가용,3814,93734,15914
"① 재생에너지",폐기물,생활폐기물,소계,173520,173020,167813
"① 재생에너지",폐기물,생활폐기물,사업용,100463,100163,121626
"① 재생에너지",폐기물,생활폐기물,자가용,73057,72857,46187
"① 재생에너지",폐기물,시멘트킬른보조연료,소계,-,-,-
"① 재생에너지",폐기물,시멘트킬른보조연료,자가용,-,-,-
"① 재생에너지",폐기물,SRF,소계,138936,134919,137467.168970962
"① 재생에너지",폐기물,SRF,사업용,131936,127424,133467.168970962
"① 재생에너지",폐기물,SRF,자가용,7000,7495,4000
"① 재생에너지",폐기물,정제연료유,소계,-,-,-
"① 재생에너지",폐기물,정제연료유,사업용,-,-,-
"② 신에너지",연료전지,소계,소계,615031,793708,891860
"② 신에너지",연료전지,사업용,소계,604814,781804,878549
"② 신에너지",연료전지,자가용,소계,10217,11904,13311
"② 신에너지",IGCC,소계,소계,346330,346330,346330
"② 신에너지",IGCC,사업용,소계,346330,346330,346330
